"Title","Genres","release_date","Director","Writer","Producer","Actors","overview"
"Inside Out 2","Animation, Family, Drama, Adventure, Fantasy","2024-06-06","Kelsey Mann","Meg LeFauve","Mark Nielsen","Amy Poehler, Lewis Black, Phyllis Smith","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone."
"Furiosa: A Mad Max Saga","Science Fiction, Action, Adventure","2024-05-22","George Miller","George Miller, Nico Lathouris","George Miller, Doug Mitchell","Anya Taylor-Joy, Chris Hemsworth, Tom Burke","As the world falls, young Furiosa is snatched from the Green Place of Many Mothers into the hands of a great biker horde led by the warlord Dementus. Sweeping through the wasteland, they encounter the citadel presided over by Immortan Joe. The two tyrants wage war for dominance, and Furiosa must survive many trials as she puts together the means to find her way home."
"Balinsasayaw","Drama","2024-05-31","Roe Pajemna","","","Apple Dy, Aiko Garcia, Benz Sangalang","A rich woman marries a charming womanizer who conspires with his wife’s best friend. When all the revelations are exposed, the tables suddenly turn."
"Your Fault","Drama, Romance","2024-06-08","Domingo González","Sofía Cuenca, Domingo González","Álex de la Iglesia, Carolina Bang","Nicole Wallace, Gabriel Guevara, Iván Sánchez",""
"Bad Boys: Ride or Die","Action, Thriller, Crime","2024-06-05","Adil El Arbi, Bilall Fallah","Chris Bremner","Jerry Bruckheimer, Will Smith, Doug Belgrad, Chad Oman","Will Smith, Martin Lawrence, Vanessa Hudgens","After their late former Captain is framed,  Lowrey and Burnett try to clear his name, only to end up on the run themselves."
"The Exorcism","Horror, Thriller","2024-05-30","Joshua John Miller","Joshua John Miller, M.A. Fortin","Ben Fast, Kevin Williamson, Bill Block","Russell Crowe, Ryan Simpkins, Sam Worthington","A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play."
"Atlas","Action, Science Fiction","2024-05-23","Brad Peyton","Leo Sardarian, Aron Eli Coleite","Joby Harold, Tory Tunnell, Jeffrey Fierson, Brad Peyton, Elaine Goldsmith-Thomas, Jennifer Lopez, Benny Medina","Jennifer Lopez, Simu Liu, Sterling K. Brown","A brilliant data analyst with a deep distrust of artificial intelligence joins a mission to capture a renegade robot with whom she shares a mysterious past."
"The Strangers: Chapter 1","Horror, Thriller","2024-05-15","Renny Harlin","","Courtney Solomon, Mark Canton, Christopher Milburn, Gary Raskin, Charlie Dombeck, Alastair Burlingham, Charlie Dombek","Madelaine Petsch, Froy Gutierrez, Gabriel Basso","After their car breaks down, a couple driving cross-country to begin a new life in the Pacific Northwest is forced to spend the night in a secluded rental, where they are terrorized from dusk till dawn by three masked strangers."
"Lady Guard","Drama","2024-05-14","Bobby Bonifacio","","","Angela Morena, Irish Tan, Anthony Dabao","Every week, warehouse security guard Estelle, turns a blind eye to the illegal gambling at the warehouse in exchange for financial and sexual favors. But when a younger and more beautiful new recruit, Meryl, arrives, will Estelle be able to keep her place as the lady guard?"
"Baki Hanma VS Kengan Ashura","Animation, Action","2024-06-05","Toshiki Hirano","Atsuo Ishino","","Nobunaga Shimazaki, Tatsuhisa Suzuki","Crossover film based on the Baki Hanma and Kengan Ashura anime."
"Hit Man","Comedy, Crime, Action","2024-05-17","Richard Linklater","","Richard Linklater, Jason Bateman, Michael Costigan, Glen Powell, Mike Blizzard","Glen Powell, Adria Arjona, Austin Amelio","A mild-mannered professor moonlighting as a fake contract killer sparks a chain reaction of trouble when he falls for a client."
"Kinds of Kindness","Drama, Comedy","2024-05-30","Yorgos Lanthimos","Yorgos Lanthimos, Efthymis Filippou","Ed Guiney, Andrew Lowe, Kasia Malipan, Yorgos Lanthimos","Emma Stone, Jesse Plemons, Willem Dafoe","A man seeks to break free from his predetermined path, a cop questions his wife's demeanor after her return from a supposed drowning and a woman's quest to locate an extraordinary individual prophesied to become a renowned spiritual guide."
"The Watchers","Horror, Mystery, Thriller","2024-06-06","Ishana Night Shyamalan","Ishana Night Shyamalan","M. Night Shyamalan, Ashwin Rajan, Nimitt Mankad","Dakota Fanning, Georgina Campbell, Olwen Fouéré","When 28-year-old artist Mina finds shelter after getting stranded in an expansive, untouched forest in western Ireland, she unknowingly becomes trapped alongside three strangers that are watched and stalked by mysterious creatures each night."
"Marvel Studios Assembled: The Making of X-Men '97","Documentary","2024-05-22","","","","","In the early 1990s, few beyond those who journeyed into the pages of Marvel comics had ever heard of ""Rogue,"" ""Beast,"" ""Gambit,"" or even ""Wolverine."" But that sad state of affairs changed forever when ""X-Men: The Animated Series"" debuted on television and touched millions hungry for something different. The series was unlike any cartoon that had come before it, exploring themes of prejudice and social justice. The characters were super, but they were also outsiders and underdogs. Kids everywhere could relate, as well as adults. ""Assembled"" recalls the birth of ""X-Men: The Animated Series"" and its revival thirty years later as ""X-Men '97."" Spend time with the original cast members, along with new voices, as they reveal the stories behind the classic show and its uncompromising continuation."
"Thelma the Unicorn","Animation, Fantasy, Family","2024-05-17","Jared Hess, Lynn Wang","Jared Hess, Jerusha Hess","Pam Coats","Brittany Howard, Will Forte, Jemaine Clement","A singing pony who dreams of stardom finds instant fame when she transforms into a sparkly unicorn — but becoming a celebrity is one wild ride."
"Love, Courage and the Battle of Bushy Run","History, Action, War","2024-05-13","Dave Alan Johnson, Larry A. McLean","Charlie Richards","Charlie Richards, Larry A. McLean, Dave Alan Johnson, Karl Horstmann","Tom Connolly, Rachele Schank, J. Michael Finley","In 1763, Britain defeated France in the worldwide Seven Years War - referred to in the American Colonies as The French and Indian War. As a result, the French abandoned America, leaving the Native population who had sided with the French to fear the British would seek revenge. Ottawa Chief Pontiac convinced many tribes they needed to strike first. Some did so willingly, others were forced to fight. Their ultimate target was Fort Pitt. The combatants on both sides deployed unconventional and often brutal strategies and tactics. Colonel Henry Bouquet, with a ragtag group of British soldiers, Scottish Highlanders and American volunteers, was tasked with trying to save the hundreds of men, women and children facing certain death - or worse - in Fort Pitt. The little-known Battle of Bushy Run changed the course of world history... This is that story."
"Under Paris","Mystery, Thriller, Action","2024-06-05","Xavier Gens","","Vincent Roget","Bérénice Bejo, Nassim Lyes, Léa Léviant","In the Summer of 2024, Paris is hosting the World Triathlon Championships on the Seine for the first time. Sophia, a brilliant scientist, learns from Mika, a young environmental activist, that a large shark is swimming deep in the river. To avoid a bloodbath at the heart of the city, they have no choice but to join forces with Adil, the Seine river police commander."
"Instacult","TV Movie, Thriller","2024-05-13","Dave Thomas","","","Malone Thomas, Chloe Avakian, Calvin Noble",""
"The Second Act","Comedy","2024-05-14","Quentin Dupieux","Quentin Dupieux","Hugo Sélignac","Léa Seydoux, Louis Garrel, Vincent Lindon","Florence wants to introduce David, the man she’s madly in love with, to her father Guillaume. But David isn’t attracted to Florence and wants to throw her into the arms of his friend Willy. The four characters meet in a restaurant in the middle of nowhere."
"Life and death of Max Linder","Documentary, Drama","2024-05-13","Edward Porembny","Edward Porembny","Edward Porembny","Rémi Bichet, Max Linder, Adam Levý","Searching for documentation about Max Linder, we found in an abandoned house a trunk sealed for 100 years, with a film from 1926 by an unknown filmmaker. The film depicts Max Linder, the first international screen star who was once revered in France, throughout Europe and in Hollywood. This pioneer of early silent film comedy was a mentor to Charlie Chaplin. Max miraculously avoided death five times. And finally, at the height of his artistic powers, he and his adored wife committed a double suicide. How was this possible?"
"Kamerad","Drama, War","2024-05-13","Toby Kearton","Toby Kearton, Kári Liljendal","Kelsey Maples, John Yonover, Lou Murrall","Benjamin Schnau, Ryan Hayes, Dean Ridge","Destitute in a crater in the heart of no man's land, two men await their fate as soldiers and human beings amid a great war of conscience."
"Hood Witch","Horror, Thriller","2024-05-15","Saïd Belktibia","Saïd Belktibia, Louis Penicaut","Ladj Ly","Golshifteh Farahani, Amine Zariouhi, Jérémy Ferrari","Nour makes a living from smuggling exotic animals and illicit products (birds of prey, venom, rare roots, etc.). Wishing to get her son out of the city and offer him a better future, she designs and develops an mobile app that connects clients and marabouts. It’s a success, but a patient’s consultation turns into a tragedy and Nour has to face a wave of violence that could cost her and her son their lives."
